"Sequence","Auction Model","Feature","Former Security Level","Adapted Security Level","Preferred Price","Selling Price","Could SP Profit","Comission"
"487936817","Availability","Unsecured","FairlySecured","English",111.710000,90.090000,50.090000,4.500000
"168558973","Anonymity","Unsecured","FairlySecured","English",54.780000,43.830000,30.490000,2.200000
"168558973","Confidentiality","Unsecured","Secured","English",109.570000,87.650000,60.990000,4.400000
"252134977","Availability","Unsecured","FairlySecured","English",65.800000,55.760000,35.760000,2.800000
"252134977","Anonymity","Unsecured","FairlySecured","English",65.800000,55.760000,35.760000,2.800000
"699844873","Availability","Unsecured","Secured","English",83.730000,76.120000,56.120000,3.800000
"699844873","Anonymity","Unsecured","Secured","English",83.730000,76.120000,56.120000,3.800000
"1335258450","Integrity","Unsecured","Secured","English",91.930000,75.350000,55.350000,3.750000
"1335258450","Confidentiality","Unsecured","Secured","English",91.930000,75.350000,55.350000,3.750000
"1046593191","Anonymity","Unsecured","FairlySecured","English",96.540000,90.220000,50.220000,4.500000
"1144012411","Anonymity","Unsecured","Secured","English",87.150000,76.450000,56.450000,3.800000
"1144012411","Confidentiality","Unsecured","Secured","English",87.150000,76.450000,56.450000,3.800000
"812417859","Confidentiality","Unsecured","FairlySecured","English",95.000000,90.480000,50.480000,4.500000
"1594762393","Availability","Unsecured","FairlySecured","Posted Offer  ",71.070000,55.520000,35.520000,2.800000
"1594762393","Integrity","Unsecured","FairlySecured","Posted Offer  ",71.070000,55.520000,35.520000,2.800000
"428140944","Availability","Unsecured","FairlySecured","Posted Offer  ",113.570000,87.360000,47.360000,4.400000
"850806814","Anonymity","Unsecured","Secured","Posted Offer  ",105.490000,87.910000,61.240000,4.400000
"850806814","Confidentiality","Unsecured","FairlySecured","Posted Offer  ",52.740000,43.950000,30.620000,2.200000
"1757070490","Anonymity","Unsecured","FairlySecured","Posted Offer  ",61.160000,55.600000,35.600000,2.800000
"1757070490","Integrity","Unsecured","FairlySecured","Posted Offer  ",61.160000,55.600000,35.600000,2.800000
"1208640368","Availability","Unsecured","Secured","Posted Offer  ",113.730000,88.160000,61.490000,4.400000
"1208640368","Anonymity","Unsecured","FairlySecured","Posted Offer  ",56.860000,44.080000,30.750000,2.200000
"1717445911","Availability","Unsecured","FairlySecured","Posted Offer  ",58.800000,56.000000,36.000000,2.800000
"1717445911","Anonymity","Unsecured","FairlySecured","Posted Offer  ",58.800000,56.000000,36.000000,2.800000
"483947569","Availability","Unsecured","Secured","Posted Offer  ",95.130000,87.270000,60.610000,4.330000
"483947569","Integrity","Unsecured","FairlySecured","Posted Offer  ",47.560000,43.640000,30.300000,2.170000
"675519287","Availability","Unsecured","Secured","Posted Offer  ",78.540000,77.000000,57.000000,3.850000
"675519287","Integrity","Unsecured","Secured","Posted Offer  ",78.540000,77.000000,57.000000,3.850000
"1321075586","Availability","Unsecured","FairlySecured","Posted Offer  ",57.660000,55.440000,35.440000,2.750000
"1321075586","Integrity","Unsecured","FairlySecured","Posted Offer  ",57.660000,55.440000,35.440000,2.750000
"1186220994","Anonymity","Unsecured","Secured","Posted Offer  ",91.740000,76.450000,56.450000,3.800000
"1186220994","Confidentiality","Unsecured","Secured","Posted Offer  ",91.740000,76.450000,56.450000,3.800000
"1725551057","Availability","Unsecured","Secured","Posted Offer  ",80.740000,75.460000,55.460000,3.750000
"1725551057","Integrity","Unsecured","Secured","Posted Offer  ",80.740000,75.460000,55.460000,3.750000
"759410942","Availability","Unsecured","Secured","Posted Offer  ",95.010000,76.010000,56.010000,3.800000
"759410942","Integrity","Unsecured","Secured","Posted Offer  ",95.010000,76.010000,56.010000,3.800000
"927028538","Availability","Unsecured","FairlySecured","Posted Offer  ",61.270000,55.200000,35.200000,2.750000
"927028538","Anonymity","Unsecured","FairlySecured","Posted Offer  ",61.270000,55.200000,35.200000,2.750000
"1572840420","Availability","Unsecured","FairlySecured","Posted Offer  ",67.830000,55.600000,35.600000,2.800000
"1572840420","Anonymity","Unsecured","FairlySecured","Posted Offer  ",67.830000,55.600000,35.600000,2.800000
"924388073","Availability","Unsecured","FairlySecured","Posted Offer  ",38.380000,38.000000,24.670000,1.900000
"924388073","Anonymity","Unsecured","Secured","Posted Offer  ",76.760000,76.000000,49.330000,3.800000
