% 1. Title: Runtime security attributes
% 
% 2. Sources:
%      (a) Creator: Francisco Ramirez (fmr067@cs.bham.ac,uk)
%      (b) Date: January, 2016
% 
@RELATION selfsecure

@ATTRIBUTE agent                    NUMERIC
@ATTRIBUTE position                 {Administrator,Researcher,Lecturer}
@ATTRIBUTE location                 {SecuredLocation,UnknownLocation,HostileLocation}
@ATTRIBUTE device                   {UniversityDevice,SharedPublicDevice,PersonalDevice}
@ATTRIBUTE informationSensitivity   {TopSecret,Secret,Classified,Restricted,Official,NonClassified,Clearance,CompartmentedInformation}
@ATTRIBUTE asset                    {VoiceCommunication,File}
@ATTRIBUTE feature                  {EncryptionTlsSsl,Proxies,MediaEncryptionSRTP,EncryptionAtRest,EncryptionAtTransit,DifferentEncryptionKeysPerFile,PasswordProtectedFiles,SegmentationOfFiles}
@ATTRIBUTE securityLevel            {Unsecured,FairlySecured,Secured}
%@ATTRIBUTE service                 {VoIPServices,CloudStorageServices}
%@ATTRIBUTE featureSupported        {68bitsWEP2,128bitsAES,1028bitsAES,128bits3DES,256bitsAES,1024bitsAES,ArmyVPNwith64bitsWPA2-PSK,ArmyVPNwith128bitsAES,OnionRooting,NoMediaEncryption,MediaEncryptionIsSupportedSRTP,NoEncryptionAtTransit,NoDifferentEncryptionKeysPerFile,DifferentEncryptionKeysPerFile,NoPasswordProtectedFiles,PasswordProtectedFiles,NoSegmentationOfFiles,SuppportSegmentation}
%@ATTRIBUTE DataRate                NUMERIC  % mbits/s
%@ATTRIBUTE CPU                     NUMERIC  % CPU core @ 2.1 Ghz
%@ATTRIBUTE Memory                  NUMERIC  % Mbyte
%@ATTRIBUTE DiskSpace               NUMERIC  % Gbyte

@data
8364071723,Lecturer,UnknownLocation,UniversityDevice,CompartmentedInformation,AvailabilityVoiceCommunication,Proxies,Secured
8364071723,Lecturer,UnknownLocation,SharedPublicDevice,CompartmentedInformation,SpeedAccessFiles,PasswordProtectedFiles,Unsecured
8364071723,Researcher,SecuredLocation,UniversityDevice,Classified,SpeedAccessFiles,DifferentEncryptionKeysPerFile,Secured
8364071723,Researcher,SecuredLocation,UniversityDevice,Classified,SpeedAccessFiles,EncryptionAtTransit,Unsecured
8364071723,Administrator,SecuredLocation,PersonalDevice,NonClassified,AvailabilityVoiceCommunication,EncryptionTlsSsl,FairlySecured
8364071723,Administrator,HostileLocation,SharedPublicDevice,Official,AvailabilityVoiceCommunication,EncryptionTlsSsl,FairlySecured
8364071723,Lecturer,UnknownLocation,SharedPublicDevice,Clearance,SpeedAccessFiles,EncryptionAtTransit,Unsecured
8364071723,Administrator,UnknownLocation,PersonalDevice,Clearance,AvailabilityVoiceCommunication,MediaEncryptionSRTP,FairlySecured
432699952,Administrator,HostileLocation,UniversityDevice,Official,AvailabilityVoiceCommunication,Proxies,FairlySecured
432699952,Researcher,HostileLocation,SharedPublicDevice,Official,AvailabilityVoiceCommunication,Proxies,Secured
432699952,Researcher,HostileLocation,UniversityDevice,CompartmentedInformation,AvailabilityVoiceCommunication,EncryptionTlsSsl,Secured
432699952,Administrator,UnknownLocation,PersonalDevice,Official,AvailabilityVoiceCommunication,EncryptionTlsSsl,Secured
432699952,Lecturer,SecuredLocation,PersonalDevice,Clearance,SpeedAccessFiles,PasswordProtectedFiles,FairlySecured
432699952,Lecturer,UnknownLocation,SharedPublicDevice,Clearance,SpeedAccessFiles,PasswordProtectedFiles,Unsecured
432699952,Researcher,UnknownLocation,UniversityDevice,Clearance,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Unsecured
432699952,Administrator,UnknownLocation,PersonalDevice,CompartmentedInformation,AvailabilityVoiceCommunication,MediaEncryptionSRTP,FairlySecured
5510228067,Lecturer,SecuredLocation,PersonalDevice,CompartmentedInformation,AvailabilityVoiceCommunication,EncryptionTlsSsl,Secured
5510228067,Researcher,HostileLocation,SharedPublicDevice,Classified,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
5510228067,Researcher,SecuredLocation,PersonalDevice,CompartmentedInformation,AvailabilityVoiceCommunication,Proxies,FairlySecured
5510228067,Lecturer,HostileLocation,UniversityDevice,NonClassified,AvailabilityVoiceCommunication,Proxies,Secured
5510228067,Researcher,SecuredLocation,SharedPublicDevice,Restricted,SpeedAccessFiles,PasswordProtectedFiles,FairlySecured
5510228067,Administrator,UnknownLocation,UniversityDevice,Classified,AvailabilityVoiceCommunication,MediaEncryptionSRTP,FairlySecured
5510228067,Lecturer,HostileLocation,SharedPublicDevice,NonClassified,SpeedAccessFiles,EncryptionAtTransit,Secured
5510228067,Researcher,SecuredLocation,SharedPublicDevice,Classified,AvailabilityVoiceCommunication,Proxies,FairlySecured
5253748682,Researcher,SecuredLocation,PersonalDevice,NonClassified,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
5253748682,Administrator,UnknownLocation,SharedPublicDevice,TopSecret,SpeedAccessFiles,PasswordProtectedFiles,Secured
5253748682,Researcher,HostileLocation,PersonalDevice,CompartmentedInformation,SpeedAccessFiles,EncryptionAtRest,Secured
5253748682,Researcher,UnknownLocation,SharedPublicDevice,CompartmentedInformation,AvailabilityVoiceCommunication,Proxies,Secured
5253748682,Administrator,UnknownLocation,SharedPublicDevice,Secret,AvailabilityVoiceCommunication,Proxies,Unsecured
5253748682,Lecturer,SecuredLocation,SharedPublicDevice,NonClassified,SpeedAccessFiles,SegmentationOfFiles,Unsecured
5253748682,Researcher,HostileLocation,PersonalDevice,Clearance,SpeedAccessFiles,SegmentationOfFiles,Secured
5253748682,Lecturer,SecuredLocation,PersonalDevice,NonClassified,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Secured
1228246873,Lecturer,UnknownLocation,PersonalDevice,Clearance,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Secured
1228246873,Researcher,UnknownLocation,UniversityDevice,CompartmentedInformation,AvailabilityVoiceCommunication,Proxies,FairlySecured
1228246873,Researcher,HostileLocation,SharedPublicDevice,Restricted,SpeedAccessFiles,EncryptionAtTransit,Secured
1228246873,Administrator,HostileLocation,PersonalDevice,Clearance,AvailabilityVoiceCommunication,EncryptionTlsSsl,FairlySecured
1228246873,Administrator,SecuredLocation,SharedPublicDevice,Clearance,AvailabilityVoiceCommunication,Proxies,FairlySecured
1228246873,Administrator,UnknownLocation,PersonalDevice,Secret,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
1228246873,Lecturer,SecuredLocation,PersonalDevice,CompartmentedInformation,SpeedAccessFiles,EncryptionAtRest,FairlySecured
1228246873,Administrator,UnknownLocation,UniversityDevice,TopSecret,AvailabilityVoiceCommunication,EncryptionTlsSsl,Secured
2090095442,Administrator,SecuredLocation,SharedPublicDevice,Clearance,AvailabilityVoiceCommunication,Proxies,Secured
2090095442,Administrator,UnknownLocation,UniversityDevice,Clearance,SpeedAccessFiles,SegmentationOfFiles,Secured
2090095442,Administrator,UnknownLocation,UniversityDevice,Classified,AvailabilityVoiceCommunication,EncryptionTlsSsl,Secured
2090095442,Administrator,SecuredLocation,UniversityDevice,NonClassified,SpeedAccessFiles,SegmentationOfFiles,Secured
2090095442,Researcher,SecuredLocation,SharedPublicDevice,Clearance,AvailabilityVoiceCommunication,EncryptionTlsSsl,FairlySecured
2090095442,Researcher,HostileLocation,UniversityDevice,Clearance,SpeedAccessFiles,DifferentEncryptionKeysPerFile,FairlySecured
2090095442,Administrator,HostileLocation,PersonalDevice,Clearance,AvailabilityVoiceCommunication,Proxies,FairlySecured
2090095442,Administrator,UnknownLocation,SharedPublicDevice,NonClassified,SpeedAccessFiles,DifferentEncryptionKeysPerFile,Secured
6661428875,Administrator,HostileLocation,UniversityDevice,NonClassified,AvailabilityVoiceCommunication,Proxies,Secured
6661428875,Researcher,UnknownLocation,PersonalDevice,CompartmentedInformation,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Secured
6661428875,Administrator,SecuredLocation,UniversityDevice,NonClassified,SpeedAccessFiles,SegmentationOfFiles,Secured
6661428875,Administrator,HostileLocation,PersonalDevice,CompartmentedInformation,SpeedAccessFiles,EncryptionAtRest,Secured
6661428875,Administrator,UnknownLocation,UniversityDevice,NonClassified,AvailabilityVoiceCommunication,EncryptionTlsSsl,Secured
6661428875,Lecturer,UnknownLocation,SharedPublicDevice,Clearance,SpeedAccessFiles,DifferentEncryptionKeysPerFile,Unsecured
6661428875,Researcher,SecuredLocation,PersonalDevice,NonClassified,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
6661428875,Lecturer,UnknownLocation,PersonalDevice,CompartmentedInformation,SpeedAccessFiles,PasswordProtectedFiles,FairlySecured
1623351691,Administrator,HostileLocation,UniversityDevice,NonClassified,AvailabilityVoiceCommunication,MediaEncryptionSRTP,FairlySecured
1623351691,Lecturer,HostileLocation,SharedPublicDevice,NonClassified,SpeedAccessFiles,EncryptionAtRest,Secured
1623351691,Researcher,HostileLocation,SharedPublicDevice,Clearance,SpeedAccessFiles,PasswordProtectedFiles,Secured
1623351691,Administrator,SecuredLocation,UniversityDevice,Classified,AvailabilityVoiceCommunication,MediaEncryptionSRTP,FairlySecured
1623351691,Administrator,SecuredLocation,SharedPublicDevice,Clearance,SpeedAccessFiles,DifferentEncryptionKeysPerFile,FairlySecured
1623351691,Administrator,HostileLocation,SharedPublicDevice,Clearance,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
1623351691,Lecturer,HostileLocation,UniversityDevice,CompartmentedInformation,SpeedAccessFiles,DifferentEncryptionKeysPerFile,FairlySecured
7824393257,Researcher,HostileLocation,PersonalDevice,Classified,AvailabilityVoiceCommunication,Proxies,Secured
7824393257,Lecturer,SecuredLocation,UniversityDevice,NonClassified,AvailabilityVoiceCommunication,Proxies,FairlySecured
7824393257,Lecturer,UnknownLocation,SharedPublicDevice,NonClassified,SpeedAccessFiles,DifferentEncryptionKeysPerFile,Unsecured
7824393257,Researcher,HostileLocation,PersonalDevice,Official,SpeedAccessFiles,DifferentEncryptionKeysPerFile,FairlySecured
7824393257,Administrator,UnknownLocation,PersonalDevice,CompartmentedInformation,AvailabilityVoiceCommunication,MediaEncryptionSRTP,FairlySecured
7824393257,Researcher,HostileLocation,UniversityDevice,CompartmentedInformation,AvailabilityVoiceCommunication,Proxies,Secured
7824393257,Lecturer,UnknownLocation,SharedPublicDevice,Clearance,SpeedAccessFiles,EncryptionAtTransit,Unsecured
622403322,Researcher,UnknownLocation,SharedPublicDevice,Classified,AvailabilityVoiceCommunication,EncryptionTlsSsl,FairlySecured
622403322,Administrator,HostileLocation,UniversityDevice,Restricted,SpeedAccessFiles,EncryptionAtRest,FairlySecured
622403322,Researcher,UnknownLocation,PersonalDevice,Classified,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Secured
622403322,Lecturer,UnknownLocation,UniversityDevice,NonClassified,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
622403322,Researcher,HostileLocation,SharedPublicDevice,Official,SpeedAccessFiles,PasswordProtectedFiles,Secured
622403322,Lecturer,SecuredLocation,PersonalDevice,CompartmentedInformation,AvailabilityVoiceCommunication,EncryptionTlsSsl,Secured
622403322,Lecturer,HostileLocation,SharedPublicDevice,Clearance,AvailabilityVoiceCommunication,Proxies,Secured
2576787569,Administrator,HostileLocation,PersonalDevice,NonClassified,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
2576787569,Lecturer,HostileLocation,SharedPublicDevice,CompartmentedInformation,AvailabilityVoiceCommunication,EncryptionTlsSsl,Secured
2576787569,Administrator,UnknownLocation,SharedPublicDevice,Official,SpeedAccessFiles,SegmentationOfFiles,FairlySecured
2576787569,Lecturer,SecuredLocation,UniversityDevice,CompartmentedInformation,AvailabilityVoiceCommunication,Proxies,Unsecured
2576787569,Administrator,UnknownLocation,PersonalDevice,Official,AvailabilityVoiceCommunication,MediaEncryptionSRTP,FairlySecured
2576787569,Lecturer,HostileLocation,PersonalDevice,Clearance,SpeedAccessFiles,PasswordProtectedFiles,FairlySecured
2576787569,Researcher,SecuredLocation,SharedPublicDevice,CompartmentedInformation,AvailabilityVoiceCommunication,EncryptionTlsSsl,FairlySecured
4959458094,Lecturer,HostileLocation,PersonalDevice,CompartmentedInformation,AvailabilityVoiceCommunication,Proxies,FairlySecured
4959458094,Administrator,UnknownLocation,UniversityDevice,Restricted,AvailabilityVoiceCommunication,MediaEncryptionSRTP,FairlySecured
4959458094,Administrator,SecuredLocation,UniversityDevice,Clearance,SpeedAccessFiles,EncryptionAtRest,Unsecured
4959458094,Lecturer,HostileLocation,SharedPublicDevice,Clearance,SpeedAccessFiles,EncryptionAtRest,FairlySecured
4959458094,Administrator,UnknownLocation,SharedPublicDevice,Restricted,AvailabilityVoiceCommunication,MediaEncryptionSRTP,FairlySecured
4959458094,Administrator,HostileLocation,SharedPublicDevice,NonClassified,SpeedAccessFiles,SegmentationOfFiles,Secured
4959458094,Administrator,UnknownLocation,UniversityDevice,Classified,SpeedAccessFiles,SegmentationOfFiles,FairlySecured
211045673,Researcher,UnknownLocation,PersonalDevice,Classified,SpeedAccessFiles,PasswordProtectedFiles,Secured
211045673,Researcher,SecuredLocation,SharedPublicDevice,Official,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
211045673,Administrator,UnknownLocation,UniversityDevice,Classified,SpeedAccessFiles,DifferentEncryptionKeysPerFile,FairlySecured
211045673,Lecturer,UnknownLocation,PersonalDevice,NonClassified,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Secured
211045673,Administrator,SecuredLocation,SharedPublicDevice,Clearance,AvailabilityVoiceCommunication,Proxies,Unsecured
211045673,Researcher,HostileLocation,SharedPublicDevice,Restricted,SpeedAccessFiles,PasswordProtectedFiles,FairlySecured
211045673,Administrator,SecuredLocation,SharedPublicDevice,Official,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
3664542200,Researcher,SecuredLocation,UniversityDevice,Clearance,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Secured
3664542200,Lecturer,HostileLocation,SharedPublicDevice,NonClassified,SpeedAccessFiles,EncryptionAtTransit,FairlySecured
3664542200,Administrator,HostileLocation,SharedPublicDevice,Secret,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Secured
3664542200,Lecturer,UnknownLocation,PersonalDevice,Clearance,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Secured
3664542200,Researcher,UnknownLocation,PersonalDevice,CompartmentedInformation,AvailabilityVoiceCommunication,Proxies,Secured
3664542200,Administrator,HostileLocation,SharedPublicDevice,Secret,SpeedAccessFiles,DifferentEncryptionKeysPerFile,FairlySecured
3664542200,Administrator,HostileLocation,PersonalDevice,Clearance,AvailabilityVoiceCommunication,EncryptionTlsSsl,FairlySecured
6273954251,Administrator,UnknownLocation,SharedPublicDevice,TopSecret,AvailabilityVoiceCommunication,EncryptionTlsSsl,Secured
6273954251,Researcher,SecuredLocation,UniversityDevice,Official,AvailabilityVoiceCommunication,Proxies,Unsecured
6273954251,Researcher,UnknownLocation,UniversityDevice,Clearance,AvailabilityVoiceCommunication,EncryptionTlsSsl,Unsecured
6273954251,Researcher,HostileLocation,PersonalDevice,Clearance,SpeedAccessFiles,DifferentEncryptionKeysPerFile,FairlySecured
6273954251,Researcher,HostileLocation,PersonalDevice,CompartmentedInformation,AvailabilityVoiceCommunication,Proxies,FairlySecured
6273954251,Administrator,UnknownLocation,SharedPublicDevice,CompartmentedInformation,SpeedAccessFiles,SegmentationOfFiles,Unsecured
6273954251,Lecturer,SecuredLocation,UniversityDevice,CompartmentedInformation,AvailabilityVoiceCommunication,MediaEncryptionSRTP,Secured
